title_jp,title_en,format,source,release_date,end_date,season,episodes,duration (min),genres,score,average_score,popularity
Kizumonogatari II: Nekketsu-hen,Kizumonogatari Part 2: Nekketsu,MOVIE,LIGHT_NOVEL,"{'year': 2016, 'month': 8, 'day': 19}","{'year': 2016, 'month': 8, 'day': 19}",SUMMER,1,68,"['Action', 'Drama', 'Ecchi', 'Mystery', 'Psychological', 'Supernatural']",9.0,85,124121
Kizumonogatari III: Reiketsu-hen,Kizumonogatari Part 3: Reiketsu,MOVIE,LIGHT_NOVEL,"{'year': 2017, 'month': 1, 'day': 6}","{'year': 2017, 'month': 1, 'day': 6}",WINTER,1,82,"['Action', 'Drama', 'Ecchi', 'Mystery', 'Psychological', 'Supernatural']",9.0,87,126774
Koe no Katachi,A Silent Voice,MOVIE,MANGA,"{'year': 2016, 'month': 9, 'day': 17}","{'year': 2016, 'month': 9, 'day': 17}",SUMMER,1,130,"['Drama', 'Romance', 'Slice of Life']",9.0,88,576785
Koi to Yobu ni wa Kimochi Warui,Koikimo,ONA,MANGA,"{'year': 2021, 'month': 3, 'day': 29}","{'year': 2021, 'month': 6, 'day': 14}",SPRING,12,24,"['Comedy', 'Romance', 'Slice of Life']",6.0,68,59280
Koi wa Ameagari no You ni,After the Rain,TV,MANGA,"{'year': 2018, 'month': 1, 'day': 10}","{'year': 2018, 'month': 3, 'day': 30}",WINTER,12,23,"['Drama', 'Romance', 'Slice of Life']",9.0,73,83840
Kokoro Connect,Kokoro Connect,TV,LIGHT_NOVEL,"{'year': 2012, 'month': 7, 'day': 8}","{'year': 2012, 'month': 9, 'day': 30}",SUMMER,13,24,"['Drama', 'Romance', 'Slice of Life', 'Supernatural']",8.0,75,165461
Kokoro Connect: Michi Random,Kokoro Connect ~ The OVAs,OVA,LIGHT_NOVEL,"{'year': 2012, 'month': 11, 'day': 19}","{'year': 2012, 'month': 12, 'day': 10}",FALL,4,27,"['Drama', 'Romance', 'Slice of Life', 'Supernatural']",8.0,77,54129
Kotonoha no Niwa,The Garden of Words,MOVIE,ORIGINAL,"{'year': 2013, 'month': 5, 'day': 31}","{'year': 2013, 'month': 5, 'day': 31}",SPRING,1,46,"['Drama', 'Psychological', 'Romance', 'Slice of Life']",8.0,75,213745
Kotoura-san,The Troubled Life of Miss Kotoura,TV,MANGA,"{'year': 2013, 'month': 1, 'day': 11}","{'year': 2013, 'month': 3, 'day': 29}",WINTER,12,23,"['Comedy', 'Drama', 'Romance']",8.0,68,68263
GHOST IN THE SHELL: Koukaku Kidoutai,Ghost in the Shell,MOVIE,MANGA,"{'year': 1995, 'month': 11, 'day': 18}","{'year': 1995, 'month': 11, 'day': 18}",FALL,1,83,"['Action', 'Psychological', 'Sci-Fi']",7.0,80,141766
Koukaku no Regios,Chrome Shelled Regios,TV,LIGHT_NOVEL,"{'year': 2009, 'month': 1, 'day': 11}","{'year': 2009, 'month': 6, 'day': 21}",WINTER,24,24,"['Action', 'Adventure', 'Fantasy', 'Sci-Fi']",7.0,68,31503
Koukyoushihen Eureka Seven,Eureka Seven,TV,ORIGINAL,"{'year': 2005, 'month': 4, 'day': 17}","{'year': 2006, 'month': 4, 'day': 2}",SPRING,50,24,"['Action', 'Adventure', 'Drama', 'Mecha', 'Romance', 'Sci-Fi']",9.0,77,76140
Koukyoushihen Eureka Seven Hi-Evolution 1,Eureka Seven Hi-Evolution 1,MOVIE,ORIGINAL,"{'year': 2017, 'month': 9, 'day': 16}","{'year': 2017, 'month': 9, 'day': 16}",SUMMER,1,93,"['Adventure', 'Drama', 'Mecha', 'Sci-Fi']",6.0,57,5103
ANEMONE: Koukyoushihen Eureka Seven Hi-Evolution,ANEMONE: Eureka Seven Hi-Evolution,MOVIE,ORIGINAL,"{'year': 2018, 'month': 11, 'day': 10}","{'year': 2018, 'month': 11, 'day': 10}",FALL,1,90,"['Adventure', 'Drama', 'Mecha', 'Sci-Fi']",6.0,63,3866
Koyomimonogatari,Koyomimonogatari,ONA,LIGHT_NOVEL,"{'year': 2016, 'month': 1, 'day': 9}","{'year': 2016, 'month': 3, 'day': 27}",WINTER,12,14,"['Comedy', 'Mystery', 'Supernatural']",7.0,74,76598
Kujira no Chouyaku,Glassy Ocean,OVA,ORIGINAL,"{'year': 1998, 'month': 11, 'day': 14}","{'year': 1998, 'month': 11, 'day': 14}",FALL,1,22,"['Drama', 'Fantasy']",0.0,63,3528
Kuzu no Honkai,Scum's Wish,TV,MANGA,"{'year': 2017, 'month': 1, 'day': 13}","{'year': 2017, 'month': 3, 'day': 31}",WINTER,12,23,"['Drama', 'Ecchi', 'Psychological', 'Romance']",6.0,68,159510
Kyokou Suiri,In/Spectre,TV,OTHER,"{'year': 2020, 'month': 1, 'day': 12}","{'year': 2020, 'month': 3, 'day': 29}",WINTER,12,24,"['Comedy', 'Mystery', 'Romance', 'Supernatural']",7.0,68,135825
Kyoukai no Kanata,Beyond the Boundary,TV,LIGHT_NOVEL,"{'year': 2013, 'month': 10, 'day': 3}","{'year': 2013, 'month': 12, 'day': 18}",FALL,12,24,"['Action', 'Drama', 'Fantasy', 'Slice of Life', 'Supernatural']",7.0,74,245436
Kyoukai no Kanata: I'LL BE HERE - Mirai-hen,Beyond the Boundary -I'LL BE HERE-: Future,MOVIE,LIGHT_NOVEL,"{'year': 2015, 'month': 4, 'day': 25}","{'year': 2015, 'month': 4, 'day': 25}",SPRING,1,90,"['Action', 'Drama', 'Fantasy', 'Romance', 'Slice of Life', 'Supernatural']",8.0,79,60992
Lady Georgie,Lady Georgie,TV,MANGA,"{'year': 1983, 'month': 4, 'day': 9}","{'year': 1984, 'month': 2, 'day': 25}",SPRING,45,25,"['Drama', 'Romance']",7.0,69,3181
Last Exile,Last Exile,TV,ORIGINAL,"{'year': 2003, 'month': 4, 'day': 7}","{'year': 2003, 'month': 9, 'day': 29}",SPRING,26,24,"['Action', 'Adventure', 'Sci-Fi']",7.0,74,29766
Lodoss-tou Senki: Eiyuu Kishi Den,Record of Lodoss War: Chronicles of the Heroic Knight,TV,OTHER,"{'year': 1998, 'month': 4, 'day': 1}","{'year': 1998, 'month': 9, 'day': 30}",SPRING,27,24,"['Action', 'Adventure', 'Drama', 'Fantasy', 'Romance']",6.0,67,6981
Love Hina,Love Hina,TV,MANGA,"{'year': 2000, 'month': 4, 'day': 19}","{'year': 2000, 'month': 9, 'day': 27}",SPRING,24,23,"['Comedy', 'Ecchi', 'Romance', 'Slice of Life']",7.0,66,38859
Lovely★Complex,Lovely Complex,TV,MANGA,"{'year': 2007, 'month': 4, 'day': 7}","{'year': 2007, 'month': 9, 'day': 29}",SPRING,24,24,"['Comedy', 'Romance', 'Slice of Life']",8.0,78,107802
Magi: The kingdom of magic,Magi: The Kingdom of Magic,TV,MANGA,"{'year': 2013, 'month': 10, 'day': 7}","{'year': 2014, 'month': 3, 'day': 30}",FALL,25,24,"['Action', 'Adventure', 'Fantasy']",8.0,81,146892
Magi: The labyrinth of magic,Magi: The Labyrinth of Magic,TV,MANGA,"{'year': 2012, 'month': 10, 'day': 7}","{'year': 2013, 'month': 3, 'day': 31}",FALL,25,24,"['Action', 'Adventure', 'Fantasy']",8.0,78,198590
Magic Knight Rayearth,Magic Knight Rayearth,TV,MANGA,"{'year': 1994, 'month': 10, 'day': 17}","{'year': 1995, 'month': 3, 'day': 13}",FALL,20,24,"['Action', 'Adventure', 'Comedy', 'Drama', 'Fantasy', 'Mahou Shoujo', 'Mecha']",7.0,71,16669
Mahouka Koukou no Rettousei,The Irregular at Magic High School,TV,LIGHT_NOVEL,"{'year': 2014, 'month': 4, 'day': 6}","{'year': 2014, 'month': 9, 'day': 28}",SPRING,26,23,"['Action', 'Romance', 'Sci-Fi', 'Supernatural']",6.0,70,219915
Maison Ikkoku,Maison Ikkoku,TV,MANGA,"{'year': 1986, 'month': 3, 'day': 26}","{'year': 1988, 'month': 3, 'day': 2}",SPRING,96,25,"['Comedy', 'Drama', 'Romance', 'Slice of Life']",8.0,78,21969
Majo no Tabitabi,Wandering Witch: The Journey of Elaina,TV,LIGHT_NOVEL,"{'year': 2020, 'month': 10, 'day': 2}","{'year': 2020, 'month': 12, 'day': 18}",FALL,12,24,"['Adventure', 'Fantasy', 'Slice of Life']",6.0,74,125857
Majo no Takkyuubin,Kiki's Delivery Service,MOVIE,OTHER,"{'year': 1989, 'month': 7, 'day': 29}","{'year': 1989, 'month': 7, 'day': 29}",SUMMER,1,105,"['Adventure', 'Drama', 'Fantasy', 'Slice of Life']",9.0,81,154218
Maou-jou de Oyasumi,Sleepy Princess in the Demon Castle,TV,MANGA,"{'year': 2020, 'month': 10, 'day': 6}","{'year': 2020, 'month': 12, 'day': 22}",FALL,12,24,"['Comedy', 'Fantasy', 'Slice of Life']",7.0,78,65251
Masamune-kun no Revenge,Masamune-kun's Revenge,TV,MANGA,"{'year': 2017, 'month': 1, 'day': 5}","{'year': 2017, 'month': 3, 'day': 23}",WINTER,12,24,"['Comedy', 'Romance', 'Slice of Life']",7.0,65,200050
Mashiroiro Symphony: The color of lovers,Mashiroiro Symphony,TV,VISUAL_NOVEL,"{'year': 2011, 'month': 10, 'day': 5}","{'year': 2011, 'month': 12, 'day': 21}",FALL,12,24,"['Drama', 'Romance']",7.0,66,27626
Mawaru Penguindrum,Penguindrum,TV,ORIGINAL,"{'year': 2011, 'month': 7, 'day': 8}","{'year': 2011, 'month': 12, 'day': 23}",SUMMER,24,24,"['Drama', 'Mystery', 'Psychological', 'Supernatural']",9.0,79,74400
Medaka Box,Medaka Box,TV,MANGA,"{'year': 2012, 'month': 4, 'day': 5}","{'year': 2012, 'month': 6, 'day': 21}",SPRING,12,24,"['Action', 'Comedy']",8.0,67,51729
Medaka Box Abnormal,Medaka Box Abnormal,TV,MANGA,"{'year': 2012, 'month': 10, 'day': 11}","{'year': 2012, 'month': 12, 'day': 27}",FALL,12,24,"['Action', 'Comedy']",8.0,71,27485
Megami-ryou no Ryoubo-kun.,Mother of the Goddess’ Dormitory,TV,MANGA,"{'year': 2021, 'month': 7, 'day': 14}","{'year': 2021, 'month': 9, 'day': 15}",SUMMER,10,24,"['Comedy', 'Ecchi', 'Romance', 'Slice of Life']",4.0,62,55639
Michiko to Hatchin,Michiko & Hatchin,TV,ORIGINAL,"{'year': 2008, 'month': 10, 'day': 16}","{'year': 2009, 'month': 3, 'day': 19}",FALL,22,22,"['Action', 'Adventure']",6.0,76,53801
Midara na Ao-chan wa Benkyou ga Dekinai,Ao-chan Can't Study!,TV_SHORT,MANGA,"{'year': 2019, 'month': 4, 'day': 6}","{'year': 2019, 'month': 6, 'day': 22}",SPRING,12,13,"['Comedy', 'Ecchi', 'Romance']",6.0,65,73004
Mikakunin de Shinkoukei,Engaged to the Unidentified,TV,MANGA,"{'year': 2014, 'month': 1, 'day': 9}","{'year': 2014, 'month': 3, 'day': 27}",WINTER,12,23,"['Comedy', 'Romance', 'Slice of Life']",8.0,71,89010
Mimi wo Sumaseba,Whisper of the Heart,MOVIE,MANGA,"{'year': 1995, 'month': 7, 'day': 15}","{'year': 1995, 'month': 7, 'day': 15}",SUMMER,1,111,"['Adventure', 'Drama', 'Romance', 'Slice of Life']",8.0,81,92389
Mind Game,Mind Game,MOVIE,MANGA,"{'year': 2004, 'month': 8, 'day': 7}","{'year': 2004, 'month': 8, 'day': 7}",SUMMER,1,104,"['Adventure', 'Comedy', 'Psychological', 'Romance']",8.0,76,25453
Miyamoto Musashi: Souken ni Haseru Yume,Musashi: The Dream of the Last Samurai,MOVIE,,"{'year': 2009, 'month': 6, 'day': 13}","{'year': 2009, 'month': 6, 'day': 13}",SUMMER,1,72,['Action'],8.0,56,1768
Monogatari Series: Second Season,Monogatari Series Second Season,TV,LIGHT_NOVEL,"{'year': 2013, 'month': 7, 'day': 7}","{'year': 2013, 'month': 12, 'day': 29}",SUMMER,26,26,"['Comedy', 'Drama', 'Mystery', 'Psychological', 'Romance', 'Supernatural']",10.0,88,151847
Monster Musume no Iru Nichijou,Monster Musume: Everyday Life With Monster Girls,TV,MANGA,"{'year': 2015, 'month': 7, 'day': 8}","{'year': 2015, 'month': 9, 'day': 23}",SUMMER,12,24,"['Comedy', 'Ecchi', 'Fantasy', 'Romance']",6.0,66,145455
Monster Musume no Oisha-san,Monster Girl Doctor,TV,LIGHT_NOVEL,"{'year': 2020, 'month': 7, 'day': 12}","{'year': 2020, 'month': 9, 'day': 27}",SUMMER,12,24,"['Comedy', 'Ecchi', 'Fantasy', 'Romance']",4.0,62,54549
